S_pombe_protein	Arabidopsis_protein	E-value
SPAC977.16c	AT1G48430.1 	2.9955e-86
SPAC977.17	AT3G06100.1 	1.97598e-14
SPAC11D3.05	AT5G65687.1 	9.92564e-06
SPAC11D3.15	AT5G37830.1 	0.0
SPAC5H10.03	AT1G58280.3 	1.15435e-15
SPAC5H10.04	AT1G76690.1 	3.80406e-66
SPAC5H10.08c	AT5G48840.1 	5.49289e-60
SPAC5H10.09c	AT2G46110.1 	2.57659e-57
SPAC5H10.11	AT4G37690.1 	1.63609e-10
SPAC5H10.12c	AT1G60450.1 	1.70978e-10
SPAC5H10.13c	AT4G37690.1 	1.68875e-12
SPAC13G6.01c	AT5G22750.1 	1.54826e-151
SPAC13G6.03	AT2G22530.1 	2.79763e-55
SPAC13G6.04	AT5G50810.1 	1.91371e-08
SPAC13G6.05c	AT3G05000.1 	4.41915e-30
SPAC13G6.06c	AT2G26080.1 	0.0
SPAC13G6.07c	AT5G10360.1 	1.57703e-80
SPAC13G6.09	AT4G02220.1 	1.33352e-12
SPAC13G6.11c	AT5G27450.3 	1.2953e-21
SPAC13G6.14	AT1G73540.1 	1.95412e-16
SPAC24B11.05	AT3G62040.1 	4.92493e-30
SPAC24B11.06c	AT3G45640.1 	9.0474e-119
SPAC24B11.08c	AT1G36050.2 	1.65955e-73
SPAC24B11.09	AT4G22310.1 	8.51993e-27
